No,Yes,variable
  875.4107,19397.5893,Total.area
  0.0000,782.9595,Total.SURVEY_LC1_1A
 142.3507,1738.5237,Total.SURVEY_LC1_1B
  729.1685,11734.9891,Total.SURVEY_LC1_1C
  0.0000,489.6537,Total.SURVEY_LC1_1D
   3.891527,4156.198407,Total.SURVEY_LC1_1E
  0.0000,298.5967,Total.SURVEY_LC1_1F
  0.0000,180.2072,Total.SURVEY_LC1_1G
 0.0000,16.4609,Total.SURVEY_LC1_1H
  818.8582,16491.1800,Total.SURVEY_LU1_1U1
 0.00000,19.07146,Total.SURVEY_LU1_1U2
  13.12586,1301.23653,Total.SURVEY_LU1_1U3
  43.42663,1586.10132,Total.SURVEY_LU1_1U4
  0.0000,216.1552,Total.SURVEY_LC1_2A1
  0.0000,514.1391,Total.SURVEY_LC1_2A2
 0.00000,52.66525,Total.SURVEY_LC1_2A3
  0.0000,912.9074,Total.SURVEY_LC1_2B1
 0.0000,25.5168,Total.SURVEY_LC1_2B2
 0.00000,68.39305,Total.SURVEY_LC1_2B3
 0.00000,85.23609,Total.SURVEY_LC1_2B4
  0.0000,197.5116,Total.SURVEY_LC1_2B5
  0.000,293.501,Total.SURVEY_LC1_2B7
  0.0000,155.4578,Total.SURVEY_LC1_2B8
142.3507,  0.0000,Total.SURVEY_LC1_2Bx
   0.000,6006.347,Total.SURVEY_LC1_2C1
 266.802,1586.499,Total.SURVEY_LC1_2C2
 462.3665,4142.1434,Total.SURVEY_LC1_2C3
  0.0000,284.1095,Total.SURVEY_LC1_2D1
  0.0000,205.5442,Total.SURVEY_LC1_2D2
  0.0000,620.0921,Total.SURVEY_LC1_2E1
   0.000,3401.919,Total.SURVEY_LC1_2E2
  0.0000,134.1875,Total.SURVEY_LC1_2E3
3.891527,0.000000,Total.SURVEY_LC1_2Ex
  0.000,130.709,Total.SURVEY_LC1_2F1
  0.0000,167.8877,Total.SURVEY_LC1_2F4
 0.0000,58.0171,Total.SURVEY_LC1_2G1
  0.0000,122.1901,Total.SURVEY_LC1_2G2
0.000000,4.041989,Total.SURVEY_LC1_2H1
 0.00000,12.41891,Total.SURVEY_LC1_2H2
 142.3507,5412.2355,Total.SURVEY_LU1_2U11
  676.5075,11028.7166,Total.SURVEY_LU1_2U12
 0.00000,24.80343,Total.SURVEY_LU1_2U13
 0.00000,20.69284,Total.SURVEY_LU1_2U14
0.000000,4.731654,Total.SURVEY_LU1_2U15
 0.00000,19.07146,Total.SURVEY_LU1_2U22
  0.0000,496.0228,Total.SURVEY_LU1_2U31
 0.00000,28.73199,Total.SURVEY_LU1_2U32
0.000000,5.102597,Total.SURVEY_LU1_2U33
 3.891527,17.556613,Total.SURVEY_LU1_2U34
